Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC1_VDPStop_r
Temperature(C)= 23.4	Humidity(%)= 7.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.150E-3
-950.000E-9	-4.130E-3
-900.000E-9	-4.050E-3
-850.000E-9	-3.900E-3
-800.000E-9	-3.690E-3
-750.000E-9	-3.570E-3
-700.000E-9	-3.350E-3
-650.000E-9	-3.200E-3
-600.000E-9	-2.950E-3
-550.000E-9	-2.700E-3
-500.000E-9	-2.550E-3
-450.000E-9	-2.380E-3
-400.000E-9	-2.130E-3
-350.000E-9	-1.880E-3
-300.000E-9	-1.630E-3
-250.000E-9	-1.400E-3
-200.000E-9	-1.190E-3
-150.000E-9	-1.070E-3
-100.000E-9	-840.000E-6
-50.000E-9	-610.000E-6
0.000E+0	-380.000E-6
50.000E-9	-150.000E-6
100.000E-9	50.000E-6
150.000E-9	260.000E-6
200.000E-9	470.000E-6
250.000E-9	670.000E-6
300.000E-9	880.000E-6
350.000E-9	1.080E-3
400.000E-9	1.210E-3
450.000E-9	1.360E-3
500.000E-9	1.610E-3
550.000E-9	1.860E-3
600.000E-9	2.110E-3
650.000E-9	2.330E-3
700.000E-9	2.540E-3
750.000E-9	2.750E-3
800.000E-9	2.960E-3
850.000E-9	3.170E-3
900.000E-9	3.380E-3
950.000E-9	3.590E-3
1.000E-6	3.800E-3
