Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC1_VDPPoly_s
Temperature(C)= 23.0	Humidity(%)= 25.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.200E-3
-9.500E-6	-5.180E-3
-9.000E-6	-5.070E-3
-8.500E-6	-4.870E-3
-8.000E-6	-4.720E-3
-7.500E-6	-4.430E-3
-7.000E-6	-4.150E-3
-6.500E-6	-3.880E-3
-6.000E-6	-3.700E-3
-5.500E-6	-3.530E-3
-5.000E-6	-3.320E-3
-4.500E-6	-2.990E-3
-4.000E-6	-2.650E-3
-3.500E-6	-2.440E-3
-3.000E-6	-2.150E-3
-2.500E-6	-1.870E-3
-2.000E-6	-1.600E-3
-1.500E-6	-1.310E-3
-1.000E-6	-1.050E-3
-500.000E-9	-790.000E-6
-1.694E-21	-530.000E-6
500.000E-9	-270.000E-6
1.000E-6	-0.000E+0
1.500E-6	240.000E-6
2.000E-6	490.000E-6
2.500E-6	740.000E-6
3.000E-6	990.000E-6
3.500E-6	1.240E-3
4.000E-6	1.500E-3
4.500E-6	1.760E-3
5.000E-6	2.010E-3
5.500E-6	2.270E-3
6.000E-6	2.520E-3
6.500E-6	2.770E-3
7.000E-6	3.010E-3
7.500E-6	3.260E-3
8.000E-6	3.520E-3
8.500E-6	3.790E-3
9.000E-6	4.050E-3
9.500E-6	4.200E-3
10.000E-6	4.480E-3
