Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC1_VDPStop_r
Temperature(C)= 21.5	Humidity(%)= 21.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.230E-3
-950.000E-9	-4.210E-3
-900.000E-9	-4.120E-3
-850.000E-9	-3.970E-3
-800.000E-9	-3.770E-3
-750.000E-9	-3.560E-3
-700.000E-9	-3.340E-3
-650.000E-9	-3.130E-3
-600.000E-9	-2.920E-3
-550.000E-9	-2.710E-3
-500.000E-9	-2.500E-3
-450.000E-9	-2.300E-3
-400.000E-9	-2.080E-3
-350.000E-9	-1.950E-3
-300.000E-9	-1.720E-3
-250.000E-9	-1.490E-3
-200.000E-9	-1.260E-3
-150.000E-9	-1.030E-3
-100.000E-9	-820.000E-6
-50.000E-9	-610.000E-6
0.000E+0	-400.000E-6
50.000E-9	-190.000E-6
100.000E-9	10.000E-6
150.000E-9	220.000E-6
200.000E-9	430.000E-6
250.000E-9	640.000E-6
300.000E-9	840.000E-6
350.000E-9	1.050E-3
400.000E-9	1.260E-3
450.000E-9	1.470E-3
500.000E-9	1.690E-3
550.000E-9	1.900E-3
600.000E-9	2.120E-3
650.000E-9	2.330E-3
700.000E-9	2.530E-3
750.000E-9	2.740E-3
800.000E-9	2.950E-3
850.000E-9	3.160E-3
900.000E-9	3.360E-3
950.000E-9	3.490E-3
1.000E-6	3.730E-3
