Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC1_VDPStop_r
Temperature(C)= 20.2	Humidity(%)= 6.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.090E-3
-950.000E-9	-4.070E-3
-900.000E-9	-3.990E-3
-850.000E-9	-3.840E-3
-800.000E-9	-3.630E-3
-750.000E-9	-3.430E-3
-700.000E-9	-3.230E-3
-650.000E-9	-3.030E-3
-600.000E-9	-2.820E-3
-550.000E-9	-2.700E-3
-500.000E-9	-2.470E-3
-450.000E-9	-2.250E-3
-400.000E-9	-2.020E-3
-350.000E-9	-1.790E-3
-300.000E-9	-1.590E-3
-250.000E-9	-1.370E-3
-200.000E-9	-1.170E-3
-150.000E-9	-1.050E-3
-100.000E-9	-830.000E-6
-50.000E-9	-610.000E-6
0.000E+0	-380.000E-6
50.000E-9	-160.000E-6
100.000E-9	40.000E-6
150.000E-9	240.000E-6
200.000E-9	450.000E-6
250.000E-9	650.000E-6
300.000E-9	860.000E-6
350.000E-9	1.070E-3
400.000E-9	1.270E-3
450.000E-9	1.470E-3
500.000E-9	1.590E-3
550.000E-9	1.740E-3
600.000E-9	1.980E-3
650.000E-9	2.140E-3
700.000E-9	2.410E-3
750.000E-9	2.660E-3
800.000E-9	2.880E-3
850.000E-9	3.100E-3
900.000E-9	3.310E-3
950.000E-9	3.510E-3
1.000E-6	3.720E-3
