Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC1_VDPPoly_s
Temperature(C)= 23.4	Humidity(%)= 7.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.220E-3
-9.500E-6	-5.210E-3
-9.000E-6	-5.160E-3
-8.500E-6	-5.060E-3
-8.000E-6	-4.800E-3
-7.500E-6	-4.460E-3
-7.000E-6	-4.150E-3
-6.500E-6	-3.860E-3
-6.000E-6	-3.600E-3
-5.500E-6	-3.340E-3
-5.000E-6	-3.080E-3
-4.500E-6	-2.820E-3
-4.000E-6	-2.660E-3
-3.500E-6	-2.370E-3
-3.000E-6	-2.190E-3
-2.500E-6	-1.880E-3
-2.000E-6	-1.570E-3
-1.500E-6	-1.280E-3
-1.000E-6	-1.100E-3
-500.000E-9	-810.000E-6
-1.694E-21	-520.000E-6
500.000E-9	-340.000E-6
1.000E-6	-30.000E-6
1.500E-6	250.000E-6
2.000E-6	540.000E-6
2.500E-6	820.000E-6
3.000E-6	1.080E-3
3.500E-6	1.240E-3
4.000E-6	1.530E-3
4.500E-6	1.810E-3
5.000E-6	2.100E-3
5.500E-6	2.280E-3
6.000E-6	2.570E-3
6.500E-6	2.860E-3
7.000E-6	3.140E-3
7.500E-6	3.430E-3
8.000E-6	3.690E-3
8.500E-6	3.950E-3
9.000E-6	4.210E-3
9.500E-6	4.470E-3
10.000E-6	4.730E-3
