Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC1_VDPStop_r
Temperature(C)= 23.0	Humidity(%)= 20.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.230E-3
-950.000E-9	-4.230E-3
-900.000E-9	-4.140E-3
-850.000E-9	-4.050E-3
-800.000E-9	-3.840E-3
-750.000E-9	-3.580E-3
-700.000E-9	-3.350E-3
-650.000E-9	-3.120E-3
-600.000E-9	-2.910E-3
-550.000E-9	-2.700E-3
-500.000E-9	-2.570E-3
-450.000E-9	-2.330E-3
-400.000E-9	-2.190E-3
-350.000E-9	-1.930E-3
-300.000E-9	-1.680E-3
-250.000E-9	-1.530E-3
-200.000E-9	-1.270E-3
-150.000E-9	-1.040E-3
-100.000E-9	-810.000E-6
-50.000E-9	-580.000E-6
0.000E+0	-370.000E-6
50.000E-9	-160.000E-6
100.000E-9	40.000E-6
150.000E-9	260.000E-6
200.000E-9	470.000E-6
250.000E-9	690.000E-6
300.000E-9	890.000E-6
350.000E-9	1.110E-3
400.000E-9	1.320E-3
450.000E-9	1.530E-3
500.000E-9	1.660E-3
550.000E-9	1.890E-3
600.000E-9	2.130E-3
650.000E-9	2.360E-3
700.000E-9	2.590E-3
750.000E-9	2.800E-3
800.000E-9	2.930E-3
850.000E-9	3.160E-3
900.000E-9	3.310E-3
950.000E-9	3.560E-3
1.000E-6	3.820E-3
