Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC1_VDPStop_r
Temperature(C)= 18.8	Humidity(%)= 21.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.150E-3
-950.000E-9	-4.130E-3
-900.000E-9	-4.040E-3
-850.000E-9	-3.900E-3
-800.000E-9	-3.700E-3
-750.000E-9	-3.500E-3
-700.000E-9	-3.290E-3
-650.000E-9	-3.160E-3
-600.000E-9	-2.930E-3
-550.000E-9	-2.690E-3
-500.000E-9	-2.460E-3
-450.000E-9	-2.230E-3
-400.000E-9	-2.030E-3
-350.000E-9	-1.820E-3
-300.000E-9	-1.620E-3
-250.000E-9	-1.410E-3
-200.000E-9	-1.210E-3
-150.000E-9	-990.000E-6
-100.000E-9	-780.000E-6
-50.000E-9	-580.000E-6
0.000E+0	-370.000E-6
50.000E-9	-160.000E-6
100.000E-9	40.000E-6
150.000E-9	250.000E-6
200.000E-9	450.000E-6
250.000E-9	660.000E-6
300.000E-9	870.000E-6
350.000E-9	1.080E-3
400.000E-9	1.280E-3
450.000E-9	1.490E-3
500.000E-9	1.690E-3
550.000E-9	1.900E-3
600.000E-9	2.110E-3
650.000E-9	2.320E-3
700.000E-9	2.530E-3
750.000E-9	2.750E-3
800.000E-9	2.970E-3
850.000E-9	3.180E-3
900.000E-9	3.380E-3
950.000E-9	3.580E-3
1.000E-6	3.780E-3
