Custom_Flutes_23-Nov-20_6:29:50 PM	Right_PQC1_VDPPoly_r
Temperature(C)= 22.2	Humidity(%)= 14.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.190E-3
-9.500E-6	-5.140E-3
-9.000E-6	-5.080E-3
-8.500E-6	-4.930E-3
-8.000E-6	-4.670E-3
-7.500E-6	-4.360E-3
-7.000E-6	-4.060E-3
-6.500E-6	-3.800E-3
-6.000E-6	-3.560E-3
-5.500E-6	-3.280E-3
-5.000E-6	-3.010E-3
-4.500E-6	-2.740E-3
-4.000E-6	-2.500E-3
-3.500E-6	-2.270E-3
-3.000E-6	-2.020E-3
-2.500E-6	-1.760E-3
-2.000E-6	-1.510E-3
-1.500E-6	-1.360E-3
-1.000E-6	-1.070E-3
-500.000E-9	-780.000E-6
-1.694E-21	-480.000E-6
500.000E-9	-200.000E-6
1.000E-6	60.000E-6
1.500E-6	320.000E-6
2.000E-6	570.000E-6
2.500E-6	830.000E-6
3.000E-6	1.090E-3
3.500E-6	1.350E-3
4.000E-6	1.610E-3
4.500E-6	1.850E-3
5.000E-6	2.110E-3
5.500E-6	2.380E-3
6.000E-6	2.620E-3
6.500E-6	2.870E-3
7.000E-6	3.140E-3
7.500E-6	3.390E-3
8.000E-6	3.650E-3
8.500E-6	3.900E-3
9.000E-6	4.160E-3
9.500E-6	4.420E-3
10.000E-6	4.700E-3
