Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC1_VDPPoly_r
Temperature(C)= 20.2	Humidity(%)= 6.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.170E-3
-9.500E-6	-5.150E-3
-9.000E-6	-5.100E-3
-8.500E-6	-4.880E-3
-8.000E-6	-4.600E-3
-7.500E-6	-4.330E-3
-7.000E-6	-4.080E-3
-6.500E-6	-3.820E-3
-6.000E-6	-3.570E-3
-5.500E-6	-3.300E-3
-5.000E-6	-3.040E-3
-4.500E-6	-2.790E-3
-4.000E-6	-2.520E-3
-3.500E-6	-2.260E-3
-3.000E-6	-2.000E-3
-2.500E-6	-1.850E-3
-2.000E-6	-1.580E-3
-1.500E-6	-1.330E-3
-1.000E-6	-960.000E-6
-500.000E-9	-800.000E-6
-1.694E-21	-510.000E-6
500.000E-9	-240.000E-6
1.000E-6	30.000E-6
1.500E-6	290.000E-6
2.000E-6	550.000E-6
2.500E-6	800.000E-6
3.000E-6	1.050E-3
3.500E-6	1.330E-3
4.000E-6	1.600E-3
4.500E-6	1.870E-3
5.000E-6	2.140E-3
5.500E-6	2.300E-3
6.000E-6	2.580E-3
6.500E-6	2.920E-3
7.000E-6	3.140E-3
7.500E-6	3.410E-3
8.000E-6	3.690E-3
8.500E-6	3.900E-3
9.000E-6	4.180E-3
9.500E-6	4.430E-3
10.000E-6	4.690E-3
