Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC1_VDPPoly_s
Temperature(C)= 22.3	Humidity(%)= 22.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.220E-3
-9.500E-6	-5.220E-3
-9.000E-6	-5.120E-3
-8.500E-6	-4.930E-3
-8.000E-6	-4.660E-3
-7.500E-6	-4.380E-3
-7.000E-6	-4.120E-3
-6.500E-6	-3.970E-3
-6.000E-6	-3.690E-3
-5.500E-6	-3.400E-3
-5.000E-6	-3.120E-3
-4.500E-6	-2.840E-3
-4.000E-6	-2.580E-3
-3.500E-6	-2.310E-3
-3.000E-6	-2.060E-3
-2.500E-6	-1.800E-3
-2.000E-6	-1.530E-3
-1.500E-6	-1.270E-3
-1.000E-6	-1.100E-3
-500.000E-9	-820.000E-6
-1.694E-21	-540.000E-6
500.000E-9	-240.000E-6
1.000E-6	40.000E-6
1.500E-6	300.000E-6
2.000E-6	560.000E-6
2.500E-6	810.000E-6
3.000E-6	1.070E-3
3.500E-6	1.350E-3
4.000E-6	1.610E-3
4.500E-6	1.890E-3
5.000E-6	2.050E-3
5.500E-6	2.330E-3
6.000E-6	2.610E-3
6.500E-6	2.900E-3
7.000E-6	3.190E-3
7.500E-6	3.460E-3
8.000E-6	3.710E-3
8.500E-6	3.970E-3
9.000E-6	4.230E-3
9.500E-6	4.480E-3
10.000E-6	4.750E-3
