Extended_Flutes_13-Nov-20_10:42:36 AM	Left_PQC1_VDPPoly_s
Temperature(C)= 20.0	Humidity(%)= 12.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.170E-3
-9.500E-6	-5.140E-3
-9.000E-6	-5.040E-3
-8.500E-6	-4.860E-3
-8.000E-6	-4.600E-3
-7.500E-6	-4.360E-3
-7.000E-6	-4.100E-3
-6.500E-6	-3.840E-3
-6.000E-6	-3.590E-3
-5.500E-6	-3.320E-3
-5.000E-6	-3.050E-3
-4.500E-6	-2.790E-3
-4.000E-6	-2.540E-3
-3.500E-6	-2.310E-3
-3.000E-6	-2.040E-3
-2.500E-6	-1.770E-3
-2.000E-6	-1.610E-3
-1.500E-6	-1.340E-3
-1.000E-6	-1.160E-3
-500.000E-9	-870.000E-6
-1.694E-21	-570.000E-6
500.000E-9	-280.000E-6
1.000E-6	10.000E-6
1.500E-6	270.000E-6
2.000E-6	530.000E-6
2.500E-6	790.000E-6
3.000E-6	1.050E-3
3.500E-6	1.300E-3
4.000E-6	1.460E-3
4.500E-6	1.740E-3
5.000E-6	2.020E-3
5.500E-6	2.310E-3
6.000E-6	2.600E-3
6.500E-6	2.860E-3
7.000E-6	3.110E-3
7.500E-6	3.370E-3
8.000E-6	3.620E-3
8.500E-6	3.870E-3
9.000E-6	4.130E-3
9.500E-6	4.380E-3
10.000E-6	4.630E-3
