Extended_Flutes_09-Nov-20_3:05:40 PM	Right_PQC1_VDPPoly_s
Temperature(C)= 23.0	Humidity(%)= 7.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.210E-3
-9.500E-6	-5.180E-3
-9.000E-6	-5.130E-3
-8.500E-6	-4.940E-3
-8.000E-6	-4.680E-3
-7.500E-6	-4.400E-3
-7.000E-6	-4.110E-3
-6.500E-6	-3.850E-3
-6.000E-6	-3.590E-3
-5.500E-6	-3.330E-3
-5.000E-6	-3.070E-3
-4.500E-6	-2.810E-3
-4.000E-6	-2.550E-3
-3.500E-6	-2.290E-3
-3.000E-6	-2.030E-3
-2.500E-6	-1.770E-3
-2.000E-6	-1.510E-3
-1.500E-6	-1.250E-3
-1.000E-6	-980.000E-6
-500.000E-9	-720.000E-6
-1.694E-21	-460.000E-6
500.000E-9	-310.000E-6
1.000E-6	-20.000E-6
1.500E-6	250.000E-6
2.000E-6	540.000E-6
2.500E-6	830.000E-6
3.000E-6	1.090E-3
3.500E-6	1.350E-3
4.000E-6	1.610E-3
4.500E-6	1.870E-3
5.000E-6	2.030E-3
5.500E-6	2.310E-3
6.000E-6	2.600E-3
6.500E-6	2.780E-3
7.000E-6	3.090E-3
7.500E-6	3.380E-3
8.000E-6	3.670E-3
8.500E-6	3.950E-3
9.000E-6	4.210E-3
9.500E-6	4.470E-3
10.000E-6	4.730E-3
