Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC1_VDPStop_r
Temperature(C)= 21.7	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.140E-3
-950.000E-9	-4.120E-3
-900.000E-9	-4.050E-3
-850.000E-9	-3.910E-3
-800.000E-9	-3.700E-3
-750.000E-9	-3.570E-3
-700.000E-9	-3.340E-3
-650.000E-9	-3.110E-3
-600.000E-9	-2.960E-3
-550.000E-9	-2.710E-3
-500.000E-9	-2.480E-3
-450.000E-9	-2.330E-3
-400.000E-9	-2.090E-3
-350.000E-9	-1.860E-3
-300.000E-9	-1.640E-3
-250.000E-9	-1.400E-3
-200.000E-9	-1.200E-3
-150.000E-9	-990.000E-6
-100.000E-9	-780.000E-6
-50.000E-9	-580.000E-6
0.000E+0	-360.000E-6
50.000E-9	-160.000E-6
100.000E-9	30.000E-6
150.000E-9	240.000E-6
200.000E-9	450.000E-6
250.000E-9	660.000E-6
300.000E-9	870.000E-6
350.000E-9	1.080E-3
400.000E-9	1.290E-3
450.000E-9	1.500E-3
500.000E-9	1.700E-3
550.000E-9	1.910E-3
600.000E-9	2.030E-3
650.000E-9	2.180E-3
700.000E-9	2.430E-3
750.000E-9	2.680E-3
800.000E-9	2.840E-3
850.000E-9	3.010E-3
900.000E-9	3.260E-3
950.000E-9	3.510E-3
1.000E-6	3.680E-3
