Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 22.7	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.970E-3
-1.900E-6	-36.760E-3
-1.800E-6	-35.950E-3
-1.700E-6	-34.530E-3
-1.600E-6	-32.470E-3
-1.500E-6	-30.370E-3
-1.400E-6	-28.240E-3
-1.300E-6	-26.100E-3
-1.200E-6	-24.020E-3
-1.100E-6	-22.030E-3
-1.000E-6	-20.140E-3
-900.000E-9	-18.340E-3
-800.000E-9	-16.590E-3
-700.000E-9	-14.890E-3
-600.000E-9	-13.190E-3
-500.000E-9	-11.500E-3
-400.000E-9	-9.820E-3
-300.000E-9	-8.130E-3
-200.000E-9	-6.440E-3
-100.000E-9	-4.740E-3
0.000E+0	-3.050E-3
100.000E-9	-1.360E-3
200.000E-9	330.000E-6
300.000E-9	2.030E-3
400.000E-9	3.730E-3
500.000E-9	5.440E-3
600.000E-9	7.150E-3
700.000E-9	8.860E-3
800.000E-9	10.580E-3
900.000E-9	12.300E-3
1.000E-6	14.020E-3
1.100E-6	15.740E-3
1.200E-6	17.470E-3
1.300E-6	19.200E-3
1.400E-6	20.930E-3
1.500E-6	22.660E-3
1.600E-6	24.400E-3
1.700E-6	26.130E-3
1.800E-6	27.870E-3
1.900E-6	29.610E-3
2.000E-6	31.360E-3
