Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 23.6	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-37.040E-3
-1.900E-6	-36.830E-3
-1.800E-6	-36.020E-3
-1.700E-6	-34.590E-3
-1.600E-6	-32.520E-3
-1.500E-6	-30.410E-3
-1.400E-6	-29.120E-3
-1.300E-6	-27.610E-3
-1.200E-6	-25.090E-3
-1.100E-6	-22.650E-3
-1.000E-6	-20.330E-3
-900.000E-9	-18.320E-3
-800.000E-9	-16.580E-3
-700.000E-9	-14.880E-3
-600.000E-9	-13.180E-3
-500.000E-9	-11.490E-3
-400.000E-9	-10.420E-3
-300.000E-9	-8.600E-3
-200.000E-9	-6.750E-3
-100.000E-9	-4.900E-3
0.000E+0	-3.060E-3
100.000E-9	-2.040E-3
200.000E-9	-170.000E-6
300.000E-9	1.690E-3
400.000E-9	3.570E-3
500.000E-9	4.760E-3
600.000E-9	6.640E-3
700.000E-9	8.520E-3
800.000E-9	10.400E-3
900.000E-9	12.290E-3
1.000E-6	14.010E-3
1.100E-6	15.730E-3
1.200E-6	17.450E-3
1.300E-6	19.180E-3
1.400E-6	20.910E-3
1.500E-6	22.640E-3
1.600E-6	24.370E-3
1.700E-6	26.110E-3
1.800E-6	27.150E-3
1.900E-6	28.370E-3
2.000E-6	30.460E-3
