Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 23.5	Humidity(%)= 7.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-37.250E-3
-1.900E-6	-37.250E-3
-1.800E-6	-36.420E-3
-1.700E-6	-34.970E-3
-1.600E-6	-33.730E-3
-1.500E-6	-31.180E-3
-1.400E-6	-28.810E-3
-1.300E-6	-27.290E-3
-1.200E-6	-24.770E-3
-1.100E-6	-22.560E-3
-1.000E-6	-20.470E-3
-900.000E-9	-18.460E-3
-800.000E-9	-16.720E-3
-700.000E-9	-15.000E-3
-600.000E-9	-13.300E-3
-500.000E-9	-12.280E-3
-400.000E-9	-10.400E-3
-300.000E-9	-8.530E-3
-200.000E-9	-6.660E-3
-100.000E-9	-4.780E-3
0.000E+0	-3.070E-3
100.000E-9	-1.370E-3
200.000E-9	340.000E-6
300.000E-9	2.050E-3
400.000E-9	3.770E-3
500.000E-9	5.490E-3
600.000E-9	6.520E-3
700.000E-9	8.420E-3
800.000E-9	10.320E-3
900.000E-9	12.230E-3
1.000E-6	14.140E-3
1.100E-6	15.880E-3
1.200E-6	17.620E-3
1.300E-6	19.360E-3
1.400E-6	21.110E-3
1.500E-6	22.850E-3
1.600E-6	24.600E-3
1.700E-6	26.350E-3
1.800E-6	28.110E-3
1.900E-6	29.860E-3
2.000E-6	31.620E-3
