Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 22.7	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.860E-3
-1.900E-6	-35.670E-3
-1.800E-6	-35.280E-3
-1.700E-6	-33.910E-3
-1.600E-6	-31.940E-3
-1.500E-6	-29.750E-3
-1.400E-6	-27.530E-3
-1.300E-6	-26.290E-3
-1.200E-6	-24.060E-3
-1.100E-6	-21.900E-3
-1.000E-6	-20.560E-3
-900.000E-9	-18.380E-3
-800.000E-9	-16.470E-3
-700.000E-9	-14.620E-3
-600.000E-9	-13.460E-3
-500.000E-9	-11.650E-3
-400.000E-9	-9.840E-3
-300.000E-9	-8.040E-3
-200.000E-9	-6.240E-3
-100.000E-9	-4.590E-3
0.000E+0	-2.950E-3
100.000E-9	-1.970E-3
200.000E-9	-160.000E-6
300.000E-9	1.650E-3
400.000E-9	3.460E-3
500.000E-9	5.280E-3
600.000E-9	6.940E-3
700.000E-9	8.590E-3
800.000E-9	10.260E-3
900.000E-9	11.920E-3
1.000E-6	13.590E-3
1.100E-6	15.260E-3
1.200E-6	16.260E-3
1.300E-6	18.100E-3
1.400E-6	19.940E-3
1.500E-6	21.780E-3
1.600E-6	23.630E-3
1.700E-6	24.640E-3
1.800E-6	26.490E-3
1.900E-6	28.340E-3
2.000E-6	30.200E-3
