Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 22.0	Humidity(%)= 6.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.450E-3
-1.900E-6	-36.400E-3
-1.800E-6	-36.090E-3
-1.700E-6	-34.850E-3
-1.600E-6	-32.940E-3
-1.500E-6	-30.850E-3
-1.400E-6	-28.730E-3
-1.300E-6	-26.610E-3
-1.200E-6	-24.550E-3
-1.100E-6	-22.540E-3
-1.000E-6	-20.770E-3
-900.000E-9	-18.960E-3
-800.000E-9	-17.830E-3
-700.000E-9	-15.970E-3
-600.000E-9	-13.970E-3
-500.000E-9	-12.750E-3
-400.000E-9	-10.800E-3
-300.000E-9	-8.990E-3
-200.000E-9	-7.810E-3
-100.000E-9	-5.850E-3
0.000E+0	-4.000E-3
100.000E-9	-2.790E-3
200.000E-9	-810.000E-6
300.000E-9	1.070E-3
400.000E-9	2.940E-3
500.000E-9	4.790E-3
600.000E-9	6.500E-3
700.000E-9	8.180E-3
800.000E-9	9.880E-3
900.000E-9	11.570E-3
1.000E-6	13.260E-3
1.100E-6	14.300E-3
1.200E-6	16.180E-3
1.300E-6	18.060E-3
1.400E-6	19.260E-3
1.500E-6	21.310E-3
1.600E-6	23.200E-3
1.700E-6	24.400E-3
1.800E-6	26.460E-3
1.900E-6	28.350E-3
2.000E-6	30.250E-3
