Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 23.6	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.080E-3
-1.900E-6	-35.080E-3
-1.800E-6	-34.700E-3
-1.700E-6	-33.320E-3
-1.600E-6	-32.110E-3
-1.500E-6	-29.500E-3
-1.400E-6	-27.050E-3
-1.300E-6	-25.630E-3
-1.200E-6	-24.070E-3
-1.100E-6	-21.840E-3
-1.000E-6	-19.760E-3
-900.000E-9	-18.390E-3
-800.000E-9	-17.040E-3
-700.000E-9	-15.740E-3
-600.000E-9	-13.670E-3
-500.000E-9	-12.340E-3
-400.000E-9	-10.120E-3
-300.000E-9	-8.210E-3
-200.000E-9	-6.460E-3
-100.000E-9	-5.320E-3
0.000E+0	-3.520E-3
100.000E-9	-1.720E-3
200.000E-9	-540.000E-6
300.000E-9	1.360E-3
400.000E-9	2.540E-3
500.000E-9	3.840E-3
600.000E-9	5.980E-3
700.000E-9	7.340E-3
800.000E-9	9.410E-3
900.000E-9	11.350E-3
1.000E-6	12.560E-3
1.100E-6	14.540E-3
1.200E-6	16.480E-3
1.300E-6	18.390E-3
1.400E-6	20.170E-3
1.500E-6	21.170E-3
1.600E-6	23.000E-3
1.700E-6	24.840E-3
1.800E-6	26.680E-3
1.900E-6	28.520E-3
2.000E-6	30.210E-3
