Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 22.1	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.910E-3
-1.900E-6	-35.050E-3
-1.800E-6	-34.360E-3
-1.700E-6	-33.580E-3
-1.600E-6	-32.410E-3
-1.500E-6	-30.000E-3
-1.400E-6	-28.380E-3
-1.300E-6	-26.690E-3
-1.200E-6	-24.040E-3
-1.100E-6	-22.670E-3
-1.000E-6	-20.660E-3
-900.000E-9	-19.460E-3
-800.000E-9	-18.340E-3
-700.000E-9	-17.000E-3
-600.000E-9	-15.570E-3
-500.000E-9	-14.040E-3
-400.000E-9	-12.420E-3
-300.000E-9	-10.030E-3
-200.000E-9	-7.760E-3
-100.000E-9	-6.390E-3
0.000E+0	-4.520E-3
100.000E-9	-3.320E-3
200.000E-9	-2.090E-3
300.000E-9	-750.000E-6
400.000E-9	1.330E-3
500.000E-9	3.460E-3
600.000E-9	5.360E-3
700.000E-9	7.330E-3
800.000E-9	9.130E-3
900.000E-9	10.770E-3
1.000E-6	12.310E-3
1.100E-6	13.770E-3
1.200E-6	15.210E-3
1.300E-6	16.320E-3
1.400E-6	18.130E-3
1.500E-6	20.120E-3
1.600E-6	21.570E-3
1.700E-6	22.980E-3
1.800E-6	25.060E-3
1.900E-6	26.430E-3
2.000E-6	28.690E-3
