Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC3_VDPBulk_s
Temperature(C)= 20.3	Humidity(%)= 6.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.410E-3
-1.900E-6	-35.210E-3
-1.800E-6	-34.430E-3
-1.700E-6	-33.030E-3
-1.600E-6	-31.840E-3
-1.500E-6	-29.600E-3
-1.400E-6	-28.160E-3
-1.300E-6	-25.740E-3
-1.200E-6	-23.390E-3
-1.100E-6	-21.340E-3
-1.000E-6	-19.390E-3
-900.000E-9	-17.680E-3
-800.000E-9	-16.030E-3
-700.000E-9	-14.380E-3
-600.000E-9	-12.750E-3
-500.000E-9	-11.110E-3
-400.000E-9	-9.480E-3
-300.000E-9	-7.850E-3
-200.000E-9	-6.210E-3
-100.000E-9	-4.580E-3
0.000E+0	-2.940E-3
100.000E-9	-1.300E-3
200.000E-9	330.000E-6
300.000E-9	1.970E-3
400.000E-9	3.620E-3
500.000E-9	5.260E-3
600.000E-9	6.920E-3
700.000E-9	8.570E-3
800.000E-9	10.220E-3
900.000E-9	11.880E-3
1.000E-6	13.540E-3
1.100E-6	15.200E-3
1.200E-6	16.200E-3
1.300E-6	18.030E-3
1.400E-6	19.860E-3
1.500E-6	21.700E-3
1.600E-6	22.870E-3
1.700E-6	24.710E-3
1.800E-6	26.550E-3
1.900E-6	28.390E-3
2.000E-6	30.230E-3
