Custom_Flutes_23-Nov-20_3:52:43 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 21.5	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.600E-3
-1.900E-6	-36.560E-3
-1.800E-6	-35.730E-3
-1.700E-6	-34.900E-3
-1.600E-6	-33.670E-3
-1.500E-6	-32.040E-3
-1.400E-6	-29.130E-3
-1.300E-6	-26.420E-3
-1.200E-6	-23.960E-3
-1.100E-6	-22.570E-3
-1.000E-6	-20.510E-3
-900.000E-9	-19.240E-3
-800.000E-9	-17.140E-3
-700.000E-9	-15.080E-3
-600.000E-9	-13.220E-3
-500.000E-9	-11.390E-3
-400.000E-9	-9.770E-3
-300.000E-9	-8.770E-3
-200.000E-9	-6.920E-3
-100.000E-9	-5.070E-3
0.000E+0	-3.180E-3
100.000E-9	-2.010E-3
200.000E-9	-140.000E-6
300.000E-9	1.700E-3
400.000E-9	2.890E-3
500.000E-9	4.240E-3
600.000E-9	5.590E-3
700.000E-9	7.720E-3
800.000E-9	9.960E-3
900.000E-9	12.060E-3
1.000E-6	14.030E-3
1.100E-6	15.690E-3
1.200E-6	17.300E-3
1.300E-6	18.920E-3
1.400E-6	20.540E-3
1.500E-6	22.240E-3
1.600E-6	23.930E-3
1.700E-6	25.630E-3
1.800E-6	26.650E-3
1.900E-6	28.520E-3
2.000E-6	29.710E-3
