Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 22.0	Humidity(%)= 6.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.550E-3
-1.900E-6	-36.550E-3
-1.800E-6	-35.750E-3
-1.700E-6	-34.340E-3
-1.600E-6	-32.300E-3
-1.500E-6	-30.030E-3
-1.400E-6	-27.920E-3
-1.300E-6	-25.800E-3
-1.200E-6	-24.540E-3
-1.100E-6	-23.130E-3
-1.000E-6	-20.840E-3
-900.000E-9	-18.670E-3
-800.000E-9	-16.580E-3
-700.000E-9	-14.720E-3
-600.000E-9	-13.710E-3
-500.000E-9	-11.870E-3
-400.000E-9	-10.020E-3
-300.000E-9	-8.190E-3
-200.000E-9	-6.350E-3
-100.000E-9	-4.680E-3
0.000E+0	-3.000E-3
100.000E-9	-2.000E-3
200.000E-9	-830.000E-6
300.000E-9	1.170E-3
400.000E-9	3.190E-3
500.000E-9	4.540E-3
600.000E-9	6.550E-3
700.000E-9	8.420E-3
800.000E-9	10.280E-3
900.000E-9	12.140E-3
1.000E-6	13.160E-3
1.100E-6	15.030E-3
1.200E-6	16.900E-3
1.300E-6	18.110E-3
1.400E-6	20.160E-3
1.500E-6	22.040E-3
1.600E-6	23.920E-3
1.700E-6	25.810E-3
1.800E-6	26.840E-3
1.900E-6	28.040E-3
2.000E-6	30.110E-3
