Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 22.7	Humidity(%)= 8.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.990E-3
-1.900E-6	-35.990E-3
-1.800E-6	-35.190E-3
-1.700E-6	-33.800E-3
-1.600E-6	-31.780E-3
-1.500E-6	-30.350E-3
-1.400E-6	-28.070E-3
-1.300E-6	-25.790E-3
-1.200E-6	-24.370E-3
-1.100E-6	-22.030E-3
-1.000E-6	-20.000E-3
-900.000E-9	-18.070E-3
-800.000E-9	-16.870E-3
-700.000E-9	-15.700E-3
-600.000E-9	-13.710E-3
-500.000E-9	-11.730E-3
-400.000E-9	-9.750E-3
-300.000E-9	-7.930E-3
-200.000E-9	-6.280E-3
-100.000E-9	-4.630E-3
0.000E+0	-2.970E-3
100.000E-9	-1.980E-3
200.000E-9	-160.000E-6
300.000E-9	1.660E-3
400.000E-9	3.490E-3
500.000E-9	4.650E-3
600.000E-9	6.490E-3
700.000E-9	8.330E-3
800.000E-9	9.500E-3
900.000E-9	11.500E-3
1.000E-6	12.670E-3
1.100E-6	14.660E-3
1.200E-6	16.680E-3
1.300E-6	18.530E-3
1.400E-6	20.380E-3
1.500E-6	22.070E-3
1.600E-6	23.750E-3
1.700E-6	24.780E-3
1.800E-6	26.700E-3
1.900E-6	27.890E-3
2.000E-6	29.250E-3
