Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 21.8	Humidity(%)= 11.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.540E-3
-1.900E-6	-35.540E-3
-1.800E-6	-34.750E-3
-1.700E-6	-33.340E-3
-1.600E-6	-31.330E-3
-1.500E-6	-29.080E-3
-1.400E-6	-27.010E-3
-1.300E-6	-24.980E-3
-1.200E-6	-23.010E-3
-1.100E-6	-21.150E-3
-1.000E-6	-20.080E-3
-900.000E-9	-18.180E-3
-800.000E-9	-16.340E-3
-700.000E-9	-15.190E-3
-600.000E-9	-13.220E-3
-500.000E-9	-12.080E-3
-400.000E-9	-10.120E-3
-300.000E-9	-8.160E-3
-200.000E-9	-6.370E-3
-100.000E-9	-4.570E-3
0.000E+0	-2.940E-3
100.000E-9	-1.310E-3
200.000E-9	320.000E-6
300.000E-9	1.960E-3
400.000E-9	3.600E-3
500.000E-9	5.240E-3
600.000E-9	6.890E-3
700.000E-9	8.540E-3
800.000E-9	10.200E-3
900.000E-9	11.860E-3
1.000E-6	13.510E-3
1.100E-6	15.180E-3
1.200E-6	16.840E-3
1.300E-6	18.510E-3
1.400E-6	20.180E-3
1.500E-6	21.840E-3
1.600E-6	23.520E-3
1.700E-6	25.190E-3
1.800E-6	26.870E-3
1.900E-6	28.550E-3
2.000E-6	30.230E-3
