Extended_Flutes_09-Nov-20_5:45:02 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 24.3	Humidity(%)= 8.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.480E-3
-1.900E-6	-36.350E-3
-1.800E-6	-36.070E-3
-1.700E-6	-35.380E-3
-1.600E-6	-34.250E-3
-1.500E-6	-32.250E-3
-1.400E-6	-30.040E-3
-1.300E-6	-27.750E-3
-1.200E-6	-25.210E-3
-1.100E-6	-22.780E-3
-1.000E-6	-20.690E-3
-900.000E-9	-19.590E-3
-800.000E-9	-17.620E-3
-700.000E-9	-16.420E-3
-600.000E-9	-14.190E-3
-500.000E-9	-12.790E-3
-400.000E-9	-11.450E-3
-300.000E-9	-9.200E-3
-200.000E-9	-7.820E-3
-100.000E-9	-5.580E-3
0.000E+0	-2.480E-3
100.000E-9	-2.800E-3
200.000E-9	-720.000E-6
300.000E-9	1.160E-3
400.000E-9	2.790E-3
500.000E-9	4.790E-3
600.000E-9	6.720E-3
700.000E-9	7.990E-3
800.000E-9	10.040E-3
900.000E-9	12.060E-3
1.000E-6	13.880E-3
1.100E-6	15.790E-3
1.200E-6	17.600E-3
1.300E-6	19.400E-3
1.400E-6	21.190E-3
1.500E-6	22.240E-3
1.600E-6	24.160E-3
1.700E-6	26.070E-3
1.800E-6	28.000E-3
1.900E-6	29.920E-3
2.000E-6	31.690E-3
