Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 22.7	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.070E-3
-1.900E-6	-35.880E-3
-1.800E-6	-35.090E-3
-1.700E-6	-34.310E-3
-1.600E-6	-32.330E-3
-1.500E-6	-30.130E-3
-1.400E-6	-27.880E-3
-1.300E-6	-25.630E-3
-1.200E-6	-23.590E-3
-1.100E-6	-21.610E-3
-1.000E-6	-19.710E-3
-900.000E-9	-17.920E-3
-800.000E-9	-16.220E-3
-700.000E-9	-15.210E-3
-600.000E-9	-13.380E-3
-500.000E-9	-11.560E-3
-400.000E-9	-9.740E-3
-300.000E-9	-8.590E-3
-200.000E-9	-6.770E-3
-100.000E-9	-4.960E-3
0.000E+0	-3.140E-3
100.000E-9	-1.320E-3
200.000E-9	310.000E-6
300.000E-9	1.980E-3
400.000E-9	3.620E-3
500.000E-9	5.270E-3
600.000E-9	6.920E-3
700.000E-9	8.580E-3
800.000E-9	10.240E-3
900.000E-9	11.900E-3
1.000E-6	12.900E-3
1.100E-6	14.070E-3
1.200E-6	16.070E-3
1.300E-6	18.070E-3
1.400E-6	20.080E-3
1.500E-6	21.250E-3
1.600E-6	23.100E-3
1.700E-6	24.270E-3
1.800E-6	25.620E-3
1.900E-6	27.810E-3
2.000E-6	29.150E-3
