Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 20.8	Humidity(%)= 7.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.070E-3
-1.900E-6	-35.050E-3
-1.800E-6	-34.330E-3
-1.700E-6	-32.960E-3
-1.600E-6	-31.020E-3
-1.500E-6	-29.640E-3
-1.400E-6	-27.490E-3
-1.300E-6	-25.320E-3
-1.200E-6	-23.160E-3
-1.100E-6	-21.040E-3
-1.000E-6	-19.210E-3
-900.000E-9	-17.470E-3
-800.000E-9	-15.800E-3
-700.000E-9	-14.800E-3
-600.000E-9	-13.030E-3
-500.000E-9	-11.250E-3
-400.000E-9	-9.490E-3
-300.000E-9	-8.360E-3
-200.000E-9	-6.590E-3
-100.000E-9	-4.820E-3
0.000E+0	-3.050E-3
100.000E-9	-1.280E-3
200.000E-9	320.000E-6
300.000E-9	1.930E-3
400.000E-9	3.550E-3
500.000E-9	5.160E-3
600.000E-9	6.790E-3
700.000E-9	8.400E-3
800.000E-9	10.000E-3
900.000E-9	10.980E-3
1.000E-6	12.740E-3
1.100E-6	14.520E-3
1.200E-6	16.300E-3
1.300E-6	18.090E-3
1.400E-6	19.720E-3
1.500E-6	21.340E-3
1.600E-6	22.970E-3
1.700E-6	24.610E-3
1.800E-6	25.590E-3
1.900E-6	27.390E-3
2.000E-6	29.190E-3
