Custom_Flutes_13-Nov-20_5:44:51 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 24.1	Humidity(%)= 16.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.760E-3
-1.900E-6	-36.650E-3
-1.800E-6	-35.910E-3
-1.700E-6	-34.490E-3
-1.600E-6	-32.410E-3
-1.500E-6	-30.220E-3
-1.400E-6	-28.140E-3
-1.300E-6	-26.880E-3
-1.200E-6	-24.600E-3
-1.100E-6	-22.400E-3
-1.000E-6	-20.310E-3
-900.000E-9	-18.310E-3
-800.000E-9	-16.570E-3
-700.000E-9	-14.870E-3
-600.000E-9	-13.160E-3
-500.000E-9	-11.470E-3
-400.000E-9	-9.780E-3
-300.000E-9	-8.110E-3
-200.000E-9	-6.410E-3
-100.000E-9	-4.730E-3
0.000E+0	-3.030E-3
100.000E-9	-1.350E-3
200.000E-9	340.000E-6
300.000E-9	2.050E-3
400.000E-9	3.760E-3
500.000E-9	5.470E-3
600.000E-9	7.170E-3
700.000E-9	8.860E-3
800.000E-9	10.570E-3
900.000E-9	12.280E-3
1.000E-6	14.000E-3
1.100E-6	15.720E-3
1.200E-6	17.440E-3
1.300E-6	19.160E-3
1.400E-6	20.890E-3
1.500E-6	22.620E-3
1.600E-6	24.350E-3
1.700E-6	26.080E-3
1.800E-6	27.820E-3
1.900E-6	29.550E-3
2.000E-6	31.290E-3
