Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 22.2	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.800E-3
-1.900E-6	-35.800E-3
-1.800E-6	-35.020E-3
-1.700E-6	-33.650E-3
-1.600E-6	-32.470E-3
-1.500E-6	-30.080E-3
-1.400E-6	-27.850E-3
-1.300E-6	-26.410E-3
-1.200E-6	-23.980E-3
-1.100E-6	-22.590E-3
-1.000E-6	-21.050E-3
-900.000E-9	-18.680E-3
-800.000E-9	-17.270E-3
-700.000E-9	-15.070E-3
-600.000E-9	-13.090E-3
-500.000E-9	-11.280E-3
-400.000E-9	-10.140E-3
-300.000E-9	-8.340E-3
-200.000E-9	-6.540E-3
-100.000E-9	-5.400E-3
0.000E+0	-3.430E-3
100.000E-9	-2.290E-3
200.000E-9	-320.000E-6
300.000E-9	1.640E-3
400.000E-9	3.450E-3
500.000E-9	4.610E-3
600.000E-9	6.420E-3
700.000E-9	8.240E-3
800.000E-9	10.060E-3
900.000E-9	11.890E-3
1.000E-6	13.550E-3
1.100E-6	15.210E-3
1.200E-6	16.880E-3
1.300E-6	18.550E-3
1.400E-6	20.220E-3
1.500E-6	21.890E-3
1.600E-6	23.570E-3
1.700E-6	25.240E-3
1.800E-6	26.250E-3
1.900E-6	28.100E-3
2.000E-6	29.950E-3
