Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 22.1	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-29.270E-3
-1.900E-6	-32.610E-3
-1.800E-6	-33.440E-3
-1.700E-6	-33.250E-3
-1.600E-6	-31.890E-3
-1.500E-6	-29.840E-3
-1.400E-6	-28.460E-3
-1.300E-6	-26.950E-3
-1.200E-6	-24.620E-3
-1.100E-6	-22.350E-3
-1.000E-6	-20.310E-3
-900.000E-9	-18.550E-3
-800.000E-9	-16.890E-3
-700.000E-9	-15.260E-3
-600.000E-9	-13.580E-3
-500.000E-9	-11.950E-3
-400.000E-9	-10.340E-3
-300.000E-9	-8.740E-3
-200.000E-9	-7.140E-3
-100.000E-9	-6.090E-3
0.000E+0	-4.340E-3
100.000E-9	-3.140E-3
200.000E-9	-1.250E-3
300.000E-9	20.000E-6
400.000E-9	1.920E-3
500.000E-9	3.750E-3
600.000E-9	5.520E-3
700.000E-9	7.210E-3
800.000E-9	8.870E-3
900.000E-9	10.000E-3
1.000E-6	11.850E-3
1.100E-6	13.780E-3
1.200E-6	15.090E-3
1.300E-6	16.970E-3
1.400E-6	18.780E-3
1.500E-6	19.940E-3
1.600E-6	21.740E-3
1.700E-6	22.990E-3
1.800E-6	24.940E-3
1.900E-6	26.790E-3
2.000E-6	28.590E-3
