Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 22.5	Humidity(%)= 7.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.210E-3
-1.900E-6	-36.210E-3
-1.800E-6	-35.430E-3
-1.700E-6	-34.040E-3
-1.600E-6	-32.050E-3
-1.500E-6	-29.840E-3
-1.400E-6	-28.620E-3
-1.300E-6	-26.360E-3
-1.200E-6	-24.920E-3
-1.100E-6	-23.300E-3
-1.000E-6	-21.740E-3
-900.000E-9	-20.040E-3
-800.000E-9	-18.410E-3
-700.000E-9	-16.650E-3
-600.000E-9	-14.940E-3
-500.000E-9	-12.430E-3
-400.000E-9	-10.110E-3
-300.000E-9	-8.780E-3
-200.000E-9	-6.800E-3
-100.000E-9	-4.980E-3
0.000E+0	-3.150E-3
100.000E-9	-1.990E-3
200.000E-9	-160.000E-6
300.000E-9	1.660E-3
400.000E-9	2.820E-3
500.000E-9	4.820E-3
600.000E-9	6.660E-3
700.000E-9	8.500E-3
800.000E-9	10.350E-3
900.000E-9	11.350E-3
1.000E-6	13.200E-3
1.100E-6	15.050E-3
1.200E-6	16.890E-3
1.300E-6	18.780E-3
1.400E-6	19.800E-3
1.500E-6	20.990E-3
1.600E-6	22.350E-3
1.700E-6	24.520E-3
1.800E-6	26.740E-3
1.900E-6	28.100E-3
2.000E-6	30.090E-3
