Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 23.0	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.660E-3
-1.900E-6	-36.460E-3
-1.800E-6	-35.650E-3
-1.700E-6	-34.850E-3
-1.600E-6	-33.630E-3
-1.500E-6	-31.140E-3
-1.400E-6	-28.620E-3
-1.300E-6	-26.080E-3
-1.200E-6	-23.800E-3
-1.100E-6	-22.610E-3
-1.000E-6	-20.530E-3
-900.000E-9	-19.260E-3
-800.000E-9	-17.850E-3
-700.000E-9	-16.460E-3
-600.000E-9	-14.920E-3
-500.000E-9	-13.400E-3
-400.000E-9	-11.720E-3
-300.000E-9	-10.050E-3
-200.000E-9	-7.540E-3
-100.000E-9	-5.200E-3
0.000E+0	-3.180E-3
100.000E-9	-1.340E-3
200.000E-9	340.000E-6
300.000E-9	2.020E-3
400.000E-9	3.710E-3
500.000E-9	4.720E-3
600.000E-9	5.910E-3
700.000E-9	7.930E-3
800.000E-9	9.970E-3
900.000E-9	12.010E-3
1.000E-6	13.880E-3
1.100E-6	15.590E-3
1.200E-6	17.300E-3
1.300E-6	19.010E-3
1.400E-6	20.040E-3
1.500E-6	21.920E-3
1.600E-6	23.120E-3
1.700E-6	24.500E-3
1.800E-6	26.730E-3
1.900E-6	28.110E-3
2.000E-6	29.490E-3
