Custom_Flutes_13-Nov-20_4:40:20 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 23.6	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-28.880E-3
-1.900E-6	-32.510E-3
-1.800E-6	-33.410E-3
-1.700E-6	-33.470E-3
-1.600E-6	-32.380E-3
-1.500E-6	-30.970E-3
-1.400E-6	-28.490E-3
-1.300E-6	-26.920E-3
-1.200E-6	-24.600E-3
-1.100E-6	-22.460E-3
-1.000E-6	-21.090E-3
-900.000E-9	-19.170E-3
-800.000E-9	-17.350E-3
-700.000E-9	-15.540E-3
-600.000E-9	-13.820E-3
-500.000E-9	-12.720E-3
-400.000E-9	-10.940E-3
-300.000E-9	-9.720E-3
-200.000E-9	-7.810E-3
-100.000E-9	-6.010E-3
0.000E+0	-4.280E-3
100.000E-9	-2.640E-3
200.000E-9	-1.040E-3
300.000E-9	580.000E-6
400.000E-9	2.210E-3
500.000E-9	3.810E-3
600.000E-9	5.420E-3
700.000E-9	6.530E-3
800.000E-9	8.340E-3
900.000E-9	10.160E-3
1.000E-6	11.420E-3
1.100E-6	13.410E-3
1.200E-6	15.320E-3
1.300E-6	16.590E-3
1.400E-6	17.900E-3
1.500E-6	19.720E-3
1.600E-6	21.570E-3
1.700E-6	23.430E-3
1.800E-6	25.120E-3
1.900E-6	26.770E-3
2.000E-6	28.420E-3
