Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 22.1	Humidity(%)= 11.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-37.090E-3
-1.900E-6	-37.080E-3
-1.800E-6	-36.250E-3
-1.700E-6	-34.810E-3
-1.600E-6	-32.730E-3
-1.500E-6	-31.260E-3
-1.400E-6	-28.900E-3
-1.300E-6	-26.520E-3
-1.200E-6	-24.180E-3
-1.100E-6	-21.950E-3
-1.000E-6	-20.060E-3
-900.000E-9	-18.260E-3
-800.000E-9	-16.520E-3
-700.000E-9	-14.830E-3
-600.000E-9	-13.160E-3
-500.000E-9	-11.480E-3
-400.000E-9	-9.790E-3
-300.000E-9	-8.100E-3
-200.000E-9	-6.420E-3
-100.000E-9	-4.740E-3
0.000E+0	-3.050E-3
100.000E-9	-2.030E-3
200.000E-9	-170.000E-6
300.000E-9	1.680E-3
400.000E-9	3.550E-3
500.000E-9	5.430E-3
600.000E-9	7.140E-3
700.000E-9	8.870E-3
800.000E-9	10.600E-3
900.000E-9	11.630E-3
1.000E-6	12.840E-3
1.100E-6	14.210E-3
1.200E-6	16.450E-3
1.300E-6	18.720E-3
1.400E-6	20.830E-3
1.500E-6	22.760E-3
1.600E-6	24.510E-3
1.700E-6	26.260E-3
1.800E-6	28.010E-3
1.900E-6	29.770E-3
2.000E-6	31.520E-3
