Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 23.5	Humidity(%)= 7.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-37.080E-3
-1.900E-6	-36.900E-3
-1.800E-6	-36.090E-3
-1.700E-6	-34.660E-3
-1.600E-6	-32.600E-3
-1.500E-6	-30.470E-3
-1.400E-6	-28.330E-3
-1.300E-6	-26.180E-3
-1.200E-6	-24.910E-3
-1.100E-6	-22.700E-3
-1.000E-6	-20.600E-3
-900.000E-9	-18.590E-3
-800.000E-9	-16.660E-3
-700.000E-9	-14.950E-3
-600.000E-9	-13.920E-3
-500.000E-9	-12.060E-3
-400.000E-9	-10.870E-3
-300.000E-9	-8.830E-3
-200.000E-9	-6.790E-3
-100.000E-9	-4.930E-3
0.000E+0	-3.060E-3
100.000E-9	-1.360E-3
200.000E-9	340.000E-6
300.000E-9	2.040E-3
400.000E-9	3.750E-3
500.000E-9	4.780E-3
600.000E-9	6.670E-3
700.000E-9	8.560E-3
800.000E-9	10.460E-3
900.000E-9	12.360E-3
1.000E-6	14.070E-3
1.100E-6	15.800E-3
1.200E-6	17.510E-3
1.300E-6	19.250E-3
1.400E-6	20.980E-3
1.500E-6	22.720E-3
1.600E-6	24.460E-3
1.700E-6	26.210E-3
1.800E-6	27.950E-3
1.900E-6	29.700E-3
2.000E-6	31.460E-3
