Custom_Flutes_13-Nov-20_5:44:51 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 24.1	Humidity(%)= 16.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-10.670E-3
-1.900E-6	-13.220E-3
-1.800E-6	-15.960E-3
-1.700E-6	-18.700E-3
-1.600E-6	-20.750E-3
-1.500E-6	-22.010E-3
-1.400E-6	-22.600E-3
-1.300E-6	-22.710E-3
-1.200E-6	-22.490E-3
-1.100E-6	-21.990E-3
-1.000E-6	-21.270E-3
-900.000E-9	-20.330E-3
-800.000E-9	-19.240E-3
-700.000E-9	-18.080E-3
-600.000E-9	-16.850E-3
-500.000E-9	-15.580E-3
-400.000E-9	-14.220E-3
-300.000E-9	-12.780E-3
-200.000E-9	-11.280E-3
-100.000E-9	-9.740E-3
0.000E+0	-8.200E-3
100.000E-9	-6.690E-3
200.000E-9	-5.200E-3
300.000E-9	-3.710E-3
400.000E-9	-2.160E-3
500.000E-9	-540.000E-6
600.000E-9	1.140E-3
700.000E-9	2.830E-3
800.000E-9	4.480E-3
900.000E-9	6.090E-3
1.000E-6	7.690E-3
1.100E-6	9.270E-3
1.200E-6	10.850E-3
1.300E-6	12.500E-3
1.400E-6	14.200E-3
1.500E-6	15.970E-3
1.600E-6	17.690E-3
1.700E-6	19.370E-3
1.800E-6	21.020E-3
1.900E-6	22.670E-3
2.000E-6	24.320E-3
