Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 20.8	Humidity(%)= 7.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.010E-3
-1.900E-6	-35.020E-3
-1.800E-6	-34.370E-3
-1.700E-6	-33.180E-3
-1.600E-6	-31.440E-3
-1.500E-6	-29.480E-3
-1.400E-6	-27.540E-3
-1.300E-6	-25.530E-3
-1.200E-6	-23.510E-3
-1.100E-6	-22.180E-3
-1.000E-6	-20.740E-3
-900.000E-9	-19.300E-3
-800.000E-9	-17.800E-3
-700.000E-9	-15.400E-3
-600.000E-9	-13.190E-3
-500.000E-9	-11.320E-3
-400.000E-9	-9.630E-3
-300.000E-9	-8.040E-3
-200.000E-9	-6.430E-3
-100.000E-9	-4.820E-3
0.000E+0	-3.200E-3
100.000E-9	-1.580E-3
200.000E-9	0.000E+0
300.000E-9	1.560E-3
400.000E-9	3.130E-3
500.000E-9	4.710E-3
600.000E-9	6.350E-3
700.000E-9	8.010E-3
800.000E-9	9.710E-3
900.000E-9	10.820E-3
1.000E-6	12.640E-3
1.100E-6	14.540E-3
1.200E-6	16.330E-3
1.300E-6	18.040E-3
1.400E-6	19.710E-3
1.500E-6	21.260E-3
1.600E-6	22.960E-3
1.700E-6	24.670E-3
1.800E-6	26.380E-3
1.900E-6	27.440E-3
2.000E-6	29.290E-3
