Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 23.2	Humidity(%)= 8.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.890E-3
-1.900E-6	-34.890E-3
-1.800E-6	-34.110E-3
-1.700E-6	-32.750E-3
-1.600E-6	-31.560E-3
-1.500E-6	-29.170E-3
-1.400E-6	-26.940E-3
-1.300E-6	-25.530E-3
-1.200E-6	-23.200E-3
-1.100E-6	-21.160E-3
-1.000E-6	-19.210E-3
-900.000E-9	-18.020E-3
-800.000E-9	-16.850E-3
-700.000E-9	-14.910E-3
-600.000E-9	-12.980E-3
-500.000E-9	-11.050E-3
-400.000E-9	-9.930E-3
-300.000E-9	-8.170E-3
-200.000E-9	-6.410E-3
-100.000E-9	-5.280E-3
0.000E+0	-3.360E-3
100.000E-9	-2.240E-3
200.000E-9	-310.000E-6
300.000E-9	1.620E-3
400.000E-9	3.390E-3
500.000E-9	5.170E-3
600.000E-9	6.140E-3
700.000E-9	7.930E-3
800.000E-9	9.710E-3
900.000E-9	11.500E-3
1.000E-6	12.640E-3
1.100E-6	14.440E-3
1.200E-6	16.240E-3
1.300E-6	17.380E-3
1.400E-6	19.350E-3
1.500E-6	21.150E-3
1.600E-6	22.300E-3
1.700E-6	24.270E-3
1.800E-6	26.080E-3
1.900E-6	27.230E-3
2.000E-6	28.550E-3
