Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC3_VDPBulk_s
Temperature(C)= 20.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.240E-3
-1.900E-6	-35.120E-3
-1.800E-6	-34.730E-3
-1.700E-6	-33.410E-3
-1.600E-6	-31.480E-3
-1.500E-6	-29.240E-3
-1.400E-6	-27.820E-3
-1.300E-6	-25.610E-3
-1.200E-6	-24.170E-3
-1.100E-6	-22.620E-3
-1.000E-6	-20.360E-3
-900.000E-9	-18.200E-3
-800.000E-9	-16.850E-3
-700.000E-9	-14.890E-3
-600.000E-9	-12.950E-3
-500.000E-9	-11.170E-3
-400.000E-9	-9.390E-3
-300.000E-9	-7.780E-3
-200.000E-9	-6.160E-3
-100.000E-9	-4.540E-3
0.000E+0	-2.920E-3
100.000E-9	-1.300E-3
200.000E-9	310.000E-6
300.000E-9	1.930E-3
400.000E-9	3.560E-3
500.000E-9	5.200E-3
600.000E-9	6.830E-3
700.000E-9	7.810E-3
800.000E-9	9.620E-3
900.000E-9	10.770E-3
1.000E-6	12.080E-3
1.100E-6	14.220E-3
1.200E-6	16.200E-3
1.300E-6	18.180E-3
1.400E-6	20.000E-3
1.500E-6	21.660E-3
1.600E-6	23.310E-3
1.700E-6	24.970E-3
1.800E-6	26.640E-3
1.900E-6	28.300E-3
2.000E-6	29.960E-3
