Custom_Flutes_23-Nov-20_5:08:24 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 21.8	Humidity(%)= 20.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.580E-3
-1.900E-6	-34.390E-3
-1.800E-6	-33.630E-3
-1.700E-6	-32.270E-3
-1.600E-6	-30.310E-3
-1.500E-6	-28.310E-3
-1.400E-6	-26.300E-3
-1.300E-6	-24.330E-3
-1.200E-6	-22.450E-3
-1.100E-6	-20.670E-3
-1.000E-6	-18.950E-3
-900.000E-9	-17.940E-3
-800.000E-9	-16.790E-3
-700.000E-9	-14.860E-3
-600.000E-9	-12.940E-3
-500.000E-9	-11.030E-3
-400.000E-9	-9.270E-3
-300.000E-9	-7.680E-3
-200.000E-9	-6.080E-3
-100.000E-9	-4.480E-3
0.000E+0	-2.880E-3
100.000E-9	-1.910E-3
200.000E-9	-150.000E-6
300.000E-9	1.610E-3
400.000E-9	3.380E-3
500.000E-9	5.160E-3
600.000E-9	6.780E-3
700.000E-9	8.400E-3
800.000E-9	10.020E-3
900.000E-9	11.640E-3
1.000E-6	12.610E-3
1.100E-6	14.400E-3
1.200E-6	16.200E-3
1.300E-6	18.000E-3
1.400E-6	19.800E-3
1.500E-6	21.430E-3
1.600E-6	23.060E-3
1.700E-6	24.680E-3
1.800E-6	26.310E-3
1.900E-6	27.960E-3
2.000E-6	29.600E-3
