Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 23.6	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.340E-3
-1.900E-6	-35.360E-3
-1.800E-6	-34.980E-3
-1.700E-6	-33.590E-3
-1.600E-6	-31.590E-3
-1.500E-6	-29.160E-3
-1.400E-6	-27.710E-3
-1.300E-6	-25.500E-3
-1.200E-6	-23.370E-3
-1.100E-6	-21.360E-3
-1.000E-6	-19.550E-3
-900.000E-9	-18.510E-3
-800.000E-9	-16.710E-3
-700.000E-9	-14.930E-3
-600.000E-9	-13.050E-3
-500.000E-9	-11.370E-3
-400.000E-9	-10.320E-3
-300.000E-9	-8.560E-3
-200.000E-9	-6.780E-3
-100.000E-9	-5.010E-3
0.000E+0	-3.330E-3
100.000E-9	-2.240E-3
200.000E-9	-500.000E-6
300.000E-9	1.220E-3
400.000E-9	2.960E-3
500.000E-9	4.600E-3
600.000E-9	5.700E-3
700.000E-9	6.940E-3
800.000E-9	8.790E-3
900.000E-9	10.600E-3
1.000E-6	11.810E-3
1.100E-6	13.600E-3
1.200E-6	15.490E-3
1.300E-6	17.400E-3
1.400E-6	18.610E-3
1.500E-6	20.420E-3
1.600E-6	22.220E-3
1.700E-6	24.060E-3
1.800E-6	25.240E-3
1.900E-6	26.550E-3
2.000E-6	28.600E-3
