Custom_Flutes_11-Nov-20_4:15:36 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 23.8	Humidity(%)= 6.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-37.700E-3
-1.900E-6	-37.700E-3
-1.800E-6	-36.910E-3
-1.700E-6	-35.510E-3
-1.600E-6	-33.500E-3
-1.500E-6	-32.070E-3
-1.400E-6	-29.780E-3
-1.300E-6	-28.310E-3
-1.200E-6	-25.850E-3
-1.100E-6	-23.470E-3
-1.000E-6	-21.410E-3
-900.000E-9	-19.440E-3
-800.000E-9	-17.720E-3
-700.000E-9	-16.040E-3
-600.000E-9	-14.370E-3
-500.000E-9	-13.370E-3
-400.000E-9	-11.540E-3
-300.000E-9	-9.700E-3
-200.000E-9	-7.860E-3
-100.000E-9	-6.690E-3
0.000E+0	-4.850E-3
100.000E-9	-3.680E-3
200.000E-9	-1.670E-3
300.000E-9	330.000E-6
400.000E-9	2.170E-3
500.000E-9	4.020E-3
600.000E-9	5.710E-3
700.000E-9	7.400E-3
800.000E-9	9.100E-3
900.000E-9	10.790E-3
1.000E-6	12.490E-3
1.100E-6	14.190E-3
1.200E-6	15.890E-3
1.300E-6	17.600E-3
1.400E-6	19.310E-3
1.500E-6	21.020E-3
1.600E-6	22.720E-3
1.700E-6	24.430E-3
1.800E-6	26.130E-3
1.900E-6	27.160E-3
2.000E-6	29.050E-3
