Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 23.6	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.430E-3
-1.900E-6	-36.230E-3
-1.800E-6	-35.830E-3
-1.700E-6	-34.420E-3
-1.600E-6	-32.390E-3
-1.500E-6	-30.960E-3
-1.400E-6	-29.290E-3
-1.300E-6	-26.790E-3
-1.200E-6	-24.320E-3
-1.100E-6	-22.720E-3
-1.000E-6	-20.450E-3
-900.000E-9	-19.190E-3
-800.000E-9	-17.790E-3
-700.000E-9	-16.420E-3
-600.000E-9	-14.900E-3
-500.000E-9	-12.550E-3
-400.000E-9	-10.210E-3
-300.000E-9	-8.200E-3
-200.000E-9	-7.030E-3
-100.000E-9	-5.190E-3
0.000E+0	-3.350E-3
100.000E-9	-2.180E-3
200.000E-9	-160.000E-6
300.000E-9	1.680E-3
400.000E-9	2.860E-3
500.000E-9	4.880E-3
600.000E-9	6.740E-3
700.000E-9	8.600E-3
800.000E-9	10.460E-3
900.000E-9	11.480E-3
1.000E-6	13.350E-3
1.100E-6	15.230E-3
1.200E-6	17.110E-3
1.300E-6	18.990E-3
1.400E-6	20.700E-3
1.500E-6	22.410E-3
1.600E-6	23.430E-3
1.700E-6	25.320E-3
1.800E-6	26.520E-3
1.900E-6	28.580E-3
2.000E-6	30.650E-3
