Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 22.9	Humidity(%)= 6.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.280E-3
-1.900E-6	-35.870E-3
-1.800E-6	-35.510E-3
-1.700E-6	-34.200E-3
-1.600E-6	-32.270E-3
-1.500E-6	-30.010E-3
-1.400E-6	-28.550E-3
-1.300E-6	-26.250E-3
-1.200E-6	-24.010E-3
-1.100E-6	-21.870E-3
-1.000E-6	-20.570E-3
-900.000E-9	-18.630E-3
-800.000E-9	-16.750E-3
-700.000E-9	-15.510E-3
-600.000E-9	-14.190E-3
-500.000E-9	-12.210E-3
-400.000E-9	-10.230E-3
-300.000E-9	-8.320E-3
-200.000E-9	-7.170E-3
-100.000E-9	-5.950E-3
0.000E+0	-3.980E-3
100.000E-9	-2.660E-3
200.000E-9	-520.000E-6
300.000E-9	1.370E-3
400.000E-9	3.190E-3
500.000E-9	4.350E-3
600.000E-9	6.180E-3
700.000E-9	8.020E-3
800.000E-9	9.860E-3
900.000E-9	11.630E-3
1.000E-6	12.710E-3
1.100E-6	13.960E-3
1.200E-6	15.980E-3
1.300E-6	18.000E-3
1.400E-6	19.950E-3
1.500E-6	21.740E-3
1.600E-6	23.420E-3
1.700E-6	25.110E-3
1.800E-6	26.190E-3
1.900E-6	28.060E-3
2.000E-6	29.940E-3
