Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 21.8	Humidity(%)= 8.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.430E-3
-1.900E-6	-36.320E-3
-1.800E-6	-35.920E-3
-1.700E-6	-34.540E-3
-1.600E-6	-32.540E-3
-1.500E-6	-30.290E-3
-1.400E-6	-28.840E-3
-1.300E-6	-26.530E-3
-1.200E-6	-25.060E-3
-1.100E-6	-22.640E-3
-1.000E-6	-20.390E-3
-900.000E-9	-18.390E-3
-800.000E-9	-16.470E-3
-700.000E-9	-14.780E-3
-600.000E-9	-13.060E-3
-500.000E-9	-11.390E-3
-400.000E-9	-9.730E-3
-300.000E-9	-8.070E-3
-200.000E-9	-6.400E-3
-100.000E-9	-4.730E-3
0.000E+0	-3.060E-3
100.000E-9	-1.400E-3
200.000E-9	260.000E-6
300.000E-9	1.270E-3
400.000E-9	3.120E-3
500.000E-9	4.320E-3
600.000E-9	6.320E-3
700.000E-9	8.300E-3
800.000E-9	10.130E-3
900.000E-9	11.940E-3
1.000E-6	13.630E-3
1.100E-6	15.380E-3
1.200E-6	17.070E-3
1.300E-6	18.770E-3
1.400E-6	20.480E-3
1.500E-6	22.110E-3
1.600E-6	23.790E-3
1.700E-6	25.470E-3
1.800E-6	27.160E-3
1.900E-6	28.850E-3
2.000E-6	30.560E-3
