Custom_Flutes_23-Nov-20_5:08:24 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 21.9	Humidity(%)= 19.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.670E-3
-1.900E-6	-34.480E-3
-1.800E-6	-33.720E-3
-1.700E-6	-32.360E-3
-1.600E-6	-30.380E-3
-1.500E-6	-28.380E-3
-1.400E-6	-26.360E-3
-1.300E-6	-24.380E-3
-1.200E-6	-22.470E-3
-1.100E-6	-20.670E-3
-1.000E-6	-18.940E-3
-900.000E-9	-17.280E-3
-800.000E-9	-15.650E-3
-700.000E-9	-14.690E-3
-600.000E-9	-12.920E-3
-500.000E-9	-11.160E-3
-400.000E-9	-9.410E-3
-300.000E-9	-7.650E-3
-200.000E-9	-6.060E-3
-100.000E-9	-4.470E-3
0.000E+0	-2.870E-3
100.000E-9	-1.910E-3
200.000E-9	-150.000E-6
300.000E-9	1.590E-3
400.000E-9	3.360E-3
500.000E-9	5.130E-3
600.000E-9	6.740E-3
700.000E-9	8.370E-3
800.000E-9	9.980E-3
900.000E-9	11.580E-3
1.000E-6	13.180E-3
1.100E-6	14.140E-3
1.200E-6	15.280E-3
1.300E-6	16.590E-3
1.400E-6	18.710E-3
1.500E-6	20.840E-3
1.600E-6	22.810E-3
1.700E-6	24.610E-3
1.800E-6	26.260E-3
1.900E-6	27.900E-3
2.000E-6	29.550E-3
