Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 22.5	Humidity(%)= 7.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.390E-3
-1.900E-6	-35.940E-3
-1.800E-6	-35.300E-3
-1.700E-6	-34.010E-3
-1.600E-6	-32.830E-3
-1.500E-6	-31.360E-3
-1.400E-6	-29.760E-3
-1.300E-6	-27.090E-3
-1.200E-6	-25.380E-3
-1.100E-6	-22.650E-3
-1.000E-6	-20.530E-3
-900.000E-9	-19.160E-3
-800.000E-9	-17.120E-3
-700.000E-9	-15.240E-3
-600.000E-9	-13.290E-3
-500.000E-9	-12.130E-3
-400.000E-9	-10.220E-3
-300.000E-9	-8.390E-3
-200.000E-9	-6.560E-3
-100.000E-9	-5.420E-3
0.000E+0	-3.680E-3
100.000E-9	-2.460E-3
200.000E-9	-1.140E-3
300.000E-9	1.000E-3
400.000E-9	2.980E-3
500.000E-9	4.900E-3
600.000E-9	6.650E-3
700.000E-9	8.310E-3
800.000E-9	9.990E-3
900.000E-9	11.670E-3
1.000E-6	13.360E-3
1.100E-6	15.100E-3
1.200E-6	16.170E-3
1.300E-6	18.020E-3
1.400E-6	19.860E-3
1.500E-6	21.650E-3
1.600E-6	23.440E-3
1.700E-6	25.120E-3
1.800E-6	26.810E-3
1.900E-6	28.500E-3
2.000E-6	30.180E-3
