Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 23.0	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.050E-3
-1.900E-6	-36.650E-3
-1.800E-6	-36.010E-3
-1.700E-6	-34.690E-3
-1.600E-6	-32.760E-3
-1.500E-6	-30.670E-3
-1.400E-6	-29.310E-3
-1.300E-6	-26.920E-3
-1.200E-6	-24.540E-3
-1.100E-6	-23.060E-3
-1.000E-6	-20.860E-3
-900.000E-9	-19.550E-3
-800.000E-9	-18.130E-3
-700.000E-9	-16.710E-3
-600.000E-9	-15.150E-3
-500.000E-9	-13.510E-3
-400.000E-9	-11.000E-3
-300.000E-9	-8.680E-3
-200.000E-9	-7.330E-3
-100.000E-9	-5.310E-3
0.000E+0	-3.490E-3
100.000E-9	-1.630E-3
200.000E-9	180.000E-6
300.000E-9	1.900E-3
400.000E-9	3.650E-3
500.000E-9	5.400E-3
600.000E-9	6.470E-3
700.000E-9	8.260E-3
800.000E-9	10.090E-3
900.000E-9	11.960E-3
1.000E-6	13.200E-3
1.100E-6	15.160E-3
1.200E-6	16.360E-3
1.300E-6	18.360E-3
1.400E-6	20.340E-3
1.500E-6	22.210E-3
1.600E-6	23.410E-3
1.700E-6	24.620E-3
1.800E-6	25.990E-3
1.900E-6	28.230E-3
2.000E-6	29.610E-3
