Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 22.2	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.790E-3
-1.900E-6	-36.790E-3
-1.800E-6	-35.980E-3
-1.700E-6	-35.170E-3
-1.600E-6	-33.110E-3
-1.500E-6	-30.600E-3
-1.400E-6	-29.110E-3
-1.300E-6	-26.560E-3
-1.200E-6	-25.090E-3
-1.100E-6	-22.670E-3
-1.000E-6	-20.370E-3
-900.000E-9	-18.390E-3
-800.000E-9	-16.470E-3
-700.000E-9	-14.780E-3
-600.000E-9	-13.770E-3
-500.000E-9	-11.920E-3
-400.000E-9	-10.750E-3
-300.000E-9	-8.730E-3
-200.000E-9	-7.390E-3
-100.000E-9	-6.050E-3
0.000E+0	-3.860E-3
100.000E-9	-1.840E-3
200.000E-9	170.000E-6
300.000E-9	2.020E-3
400.000E-9	3.720E-3
500.000E-9	5.410E-3
600.000E-9	7.110E-3
700.000E-9	8.810E-3
800.000E-9	10.510E-3
900.000E-9	12.210E-3
1.000E-6	13.920E-3
1.100E-6	15.630E-3
1.200E-6	16.660E-3
1.300E-6	18.550E-3
1.400E-6	19.750E-3
1.500E-6	21.810E-3
1.600E-6	23.880E-3
1.700E-6	25.770E-3
1.800E-6	27.670E-3
1.900E-6	29.400E-3
2.000E-6	31.130E-3
