Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 23.3	Humidity(%)= 9.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.410E-3
-1.900E-6	-36.410E-3
-1.800E-6	-36.000E-3
-1.700E-6	-35.190E-3
-1.600E-6	-33.990E-3
-1.500E-6	-31.340E-3
-1.400E-6	-29.480E-3
-1.300E-6	-26.570E-3
-1.200E-6	-24.100E-3
-1.100E-6	-21.940E-3
-1.000E-6	-19.890E-3
-900.000E-9	-18.110E-3
-800.000E-9	-17.080E-3
-700.000E-9	-15.890E-3
-600.000E-9	-13.870E-3
-500.000E-9	-12.530E-3
-400.000E-9	-10.360E-3
-300.000E-9	-9.030E-3
-200.000E-9	-7.020E-3
-100.000E-9	-5.030E-3
0.000E+0	-3.190E-3
100.000E-9	-1.350E-3
200.000E-9	340.000E-6
300.000E-9	2.010E-3
400.000E-9	3.690E-3
500.000E-9	5.390E-3
600.000E-9	7.060E-3
700.000E-9	8.760E-3
800.000E-9	10.450E-3
900.000E-9	12.150E-3
1.000E-6	13.860E-3
1.100E-6	15.560E-3
1.200E-6	16.580E-3
1.300E-6	18.450E-3
1.400E-6	20.340E-3
1.500E-6	22.210E-3
1.600E-6	23.410E-3
1.700E-6	24.610E-3
1.800E-6	26.660E-3
1.900E-6	28.720E-3
2.000E-6	30.100E-3
