Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 23.6	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.930E-3
-1.900E-6	-36.730E-3
-1.800E-6	-36.330E-3
-1.700E-6	-35.520E-3
-1.600E-6	-33.470E-3
-1.500E-6	-31.820E-3
-1.400E-6	-29.070E-3
-1.300E-6	-27.360E-3
-1.200E-6	-24.840E-3
-1.100E-6	-22.400E-3
-1.000E-6	-21.040E-3
-900.000E-9	-19.550E-3
-800.000E-9	-17.420E-3
-700.000E-9	-15.360E-3
-600.000E-9	-13.320E-3
-500.000E-9	-11.470E-3
-400.000E-9	-10.460E-3
-300.000E-9	-8.600E-3
-200.000E-9	-6.740E-3
-100.000E-9	-4.890E-3
0.000E+0	-3.030E-3
100.000E-9	-2.010E-3
200.000E-9	-150.000E-6
300.000E-9	1.700E-3
400.000E-9	3.570E-3
500.000E-9	5.440E-3
600.000E-9	7.150E-3
700.000E-9	8.860E-3
800.000E-9	10.570E-3
900.000E-9	12.280E-3
1.000E-6	14.000E-3
1.100E-6	15.030E-3
1.200E-6	16.920E-3
1.300E-6	18.810E-3
1.400E-6	20.710E-3
1.500E-6	21.920E-3
1.600E-6	23.820E-3
1.700E-6	25.730E-3
1.800E-6	27.630E-3
1.900E-6	28.850E-3
2.000E-6	30.070E-3
