Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 22.7	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-37.130E-3
-1.900E-6	-37.120E-3
-1.800E-6	-36.710E-3
-1.700E-6	-35.270E-3
-1.600E-6	-33.190E-3
-1.500E-6	-30.660E-3
-1.400E-6	-28.300E-3
-1.300E-6	-27.010E-3
-1.200E-6	-24.710E-3
-1.100E-6	-22.510E-3
-1.000E-6	-20.420E-3
-900.000E-9	-19.140E-3
-800.000E-9	-17.900E-3
-700.000E-9	-16.510E-3
-600.000E-9	-14.290E-3
-500.000E-9	-12.080E-3
-400.000E-9	-10.040E-3
-300.000E-9	-8.170E-3
-200.000E-9	-6.470E-3
-100.000E-9	-5.450E-3
0.000E+0	-3.580E-3
100.000E-9	-2.390E-3
200.000E-9	-340.000E-6
300.000E-9	1.700E-3
400.000E-9	2.900E-3
500.000E-9	4.960E-3
600.000E-9	6.850E-3
700.000E-9	8.750E-3
800.000E-9	10.640E-3
900.000E-9	11.680E-3
1.000E-6	13.580E-3
1.100E-6	15.480E-3
1.200E-6	17.390E-3
1.300E-6	19.290E-3
1.400E-6	21.030E-3
1.500E-6	22.080E-3
1.600E-6	23.990E-3
1.700E-6	25.910E-3
1.800E-6	27.830E-3
1.900E-6	29.760E-3
2.000E-6	31.510E-3
