Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC3_VDPBulk_s
Temperature(C)= 19.0	Humidity(%)= 9.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.490E-3
-1.900E-6	-34.560E-3
-1.800E-6	-33.850E-3
-1.700E-6	-32.550E-3
-1.600E-6	-31.410E-3
-1.500E-6	-29.150E-3
-1.400E-6	-27.780E-3
-1.300E-6	-25.480E-3
-1.200E-6	-23.210E-3
-1.100E-6	-21.140E-3
-1.000E-6	-19.330E-3
-900.000E-9	-17.610E-3
-800.000E-9	-15.950E-3
-700.000E-9	-14.940E-3
-600.000E-9	-13.070E-3
-500.000E-9	-11.300E-3
-400.000E-9	-10.120E-3
-300.000E-9	-8.240E-3
-200.000E-9	-6.470E-3
-100.000E-9	-4.750E-3
0.000E+0	-3.050E-3
100.000E-9	-1.440E-3
200.000E-9	200.000E-6
300.000E-9	1.790E-3
400.000E-9	3.350E-3
500.000E-9	4.910E-3
600.000E-9	5.900E-3
700.000E-9	7.600E-3
800.000E-9	9.420E-3
900.000E-9	10.610E-3
1.000E-6	11.890E-3
1.100E-6	14.070E-3
1.200E-6	15.570E-3
1.300E-6	17.720E-3
1.400E-6	19.690E-3
1.500E-6	21.190E-3
1.600E-6	22.780E-3
1.700E-6	23.780E-3
1.800E-6	24.920E-3
1.900E-6	26.230E-3
2.000E-6	28.400E-3
