Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 21.7	Humidity(%)= 7.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.160E-3
-1.900E-6	-35.160E-3
-1.800E-6	-34.370E-3
-1.700E-6	-33.580E-3
-1.600E-6	-31.570E-3
-1.500E-6	-29.140E-3
-1.400E-6	-27.700E-3
-1.300E-6	-25.290E-3
-1.200E-6	-23.140E-3
-1.100E-6	-21.820E-3
-1.000E-6	-19.700E-3
-900.000E-9	-17.840E-3
-800.000E-9	-16.690E-3
-700.000E-9	-14.740E-3
-600.000E-9	-12.960E-3
-500.000E-9	-11.180E-3
-400.000E-9	-9.400E-3
-300.000E-9	-7.770E-3
-200.000E-9	-6.140E-3
-100.000E-9	-4.520E-3
0.000E+0	-2.900E-3
100.000E-9	-1.280E-3
200.000E-9	330.000E-6
300.000E-9	1.950E-3
400.000E-9	3.580E-3
500.000E-9	4.560E-3
600.000E-9	6.360E-3
700.000E-9	7.510E-3
800.000E-9	9.480E-3
900.000E-9	11.450E-3
1.000E-6	12.600E-3
1.100E-6	14.570E-3
1.200E-6	15.720E-3
1.300E-6	17.040E-3
1.400E-6	18.360E-3
1.500E-6	20.680E-3
1.600E-6	22.000E-3
1.700E-6	24.320E-3
1.800E-6	26.320E-3
1.900E-6	28.140E-3
2.000E-6	29.970E-3
