Custom_Flutes_23-Nov-20_3:29:42 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 21.4	Humidity(%)= 9.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.250E-3
-1.900E-6	-36.050E-3
-1.800E-6	-35.250E-3
-1.700E-6	-34.450E-3
-1.600E-6	-32.450E-3
-1.500E-6	-30.230E-3
-1.400E-6	-27.970E-3
-1.300E-6	-26.510E-3
-1.200E-6	-24.240E-3
-1.100E-6	-22.830E-3
-1.000E-6	-20.530E-3
-900.000E-9	-18.350E-3
-800.000E-9	-17.120E-3
-700.000E-9	-15.080E-3
-600.000E-9	-13.240E-3
-500.000E-9	-12.080E-3
-400.000E-9	-10.760E-3
-300.000E-9	-9.430E-3
-200.000E-9	-7.280E-3
-100.000E-9	-5.130E-3
0.000E+0	-3.140E-3
100.000E-9	-1.980E-3
200.000E-9	-820.000E-6
300.000E-9	1.170E-3
400.000E-9	3.170E-3
500.000E-9	4.500E-3
600.000E-9	6.510E-3
700.000E-9	8.350E-3
800.000E-9	10.190E-3
900.000E-9	12.030E-3
1.000E-6	13.040E-3
1.100E-6	14.890E-3
1.200E-6	16.750E-3
1.300E-6	18.610E-3
1.400E-6	20.460E-3
1.500E-6	21.490E-3
1.600E-6	23.350E-3
1.700E-6	25.220E-3
1.800E-6	26.400E-3
1.900E-6	28.440E-3
2.000E-6	30.310E-3
