Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC3_VDPBulk_r
Temperature(C)= 19.8	Humidity(%)= 13.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.080E-3
-1.900E-6	-35.080E-3
-1.800E-6	-34.320E-3
-1.700E-6	-32.980E-3
-1.600E-6	-31.050E-3
-1.500E-6	-28.900E-3
-1.400E-6	-26.910E-3
-1.300E-6	-24.910E-3
-1.200E-6	-22.940E-3
-1.100E-6	-21.030E-3
-1.000E-6	-19.930E-3
-900.000E-9	-17.990E-3
-800.000E-9	-16.120E-3
-700.000E-9	-14.310E-3
-600.000E-9	-12.530E-3
-500.000E-9	-10.920E-3
-400.000E-9	-9.320E-3
-300.000E-9	-7.710E-3
-200.000E-9	-6.110E-3
-100.000E-9	-4.500E-3
0.000E+0	-2.900E-3
100.000E-9	-1.290E-3
200.000E-9	320.000E-6
300.000E-9	1.930E-3
400.000E-9	3.550E-3
500.000E-9	5.170E-3
600.000E-9	6.790E-3
700.000E-9	8.410E-3
800.000E-9	10.040E-3
900.000E-9	11.670E-3
1.000E-6	13.300E-3
1.100E-6	14.930E-3
1.200E-6	16.570E-3
1.300E-6	18.200E-3
1.400E-6	19.850E-3
1.500E-6	21.490E-3
1.600E-6	22.470E-3
1.700E-6	24.280E-3
1.800E-6	26.090E-3
1.900E-6	27.910E-3
2.000E-6	29.720E-3
