Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 22.2	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.680E-3
-1.900E-6	-35.490E-3
-1.800E-6	-35.100E-3
-1.700E-6	-33.740E-3
-1.600E-6	-32.560E-3
-1.500E-6	-30.190E-3
-1.400E-6	-28.590E-3
-1.300E-6	-26.970E-3
-1.200E-6	-24.360E-3
-1.100E-6	-22.770E-3
-1.000E-6	-20.300E-3
-900.000E-9	-18.140E-3
-800.000E-9	-16.920E-3
-700.000E-9	-15.560E-3
-600.000E-9	-14.230E-3
-500.000E-9	-12.100E-3
-400.000E-9	-10.790E-3
-300.000E-9	-9.320E-3
-200.000E-9	-7.840E-3
-100.000E-9	-5.550E-3
0.000E+0	-3.420E-3
100.000E-9	-1.450E-3
200.000E-9	340.000E-6
300.000E-9	1.990E-3
400.000E-9	2.980E-3
500.000E-9	4.790E-3
600.000E-9	6.610E-3
700.000E-9	8.430E-3
800.000E-9	10.250E-3
900.000E-9	11.250E-3
1.000E-6	13.070E-3
1.100E-6	14.900E-3
1.200E-6	16.070E-3
1.300E-6	18.070E-3
1.400E-6	19.240E-3
1.500E-6	21.250E-3
1.600E-6	23.260E-3
1.700E-6	25.100E-3
1.800E-6	26.280E-3
1.900E-6	28.130E-3
2.000E-6	29.980E-3
