Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 21.8	Humidity(%)= 8.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.530E-3
-1.900E-6	-36.330E-3
-1.800E-6	-35.520E-3
-1.700E-6	-34.120E-3
-1.600E-6	-32.080E-3
-1.500E-6	-30.030E-3
-1.400E-6	-28.760E-3
-1.300E-6	-27.270E-3
-1.200E-6	-24.790E-3
-1.100E-6	-22.360E-3
-1.000E-6	-20.790E-3
-900.000E-9	-18.610E-3
-800.000E-9	-16.700E-3
-700.000E-9	-15.510E-3
-600.000E-9	-13.500E-3
-500.000E-9	-11.670E-3
-400.000E-9	-9.840E-3
-300.000E-9	-8.010E-3
-200.000E-9	-6.340E-3
-100.000E-9	-4.670E-3
0.000E+0	-3.000E-3
100.000E-9	-1.330E-3
200.000E-9	340.000E-6
300.000E-9	2.010E-3
400.000E-9	3.700E-3
500.000E-9	5.380E-3
600.000E-9	7.060E-3
700.000E-9	8.750E-3
800.000E-9	10.440E-3
900.000E-9	12.140E-3
1.000E-6	13.830E-3
1.100E-6	15.540E-3
1.200E-6	16.560E-3
1.300E-6	18.440E-3
1.400E-6	20.310E-3
1.500E-6	21.510E-3
1.600E-6	23.560E-3
1.700E-6	25.440E-3
1.800E-6	27.330E-3
1.900E-6	28.530E-3
2.000E-6	30.420E-3
