Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC3_VDPBulk_r
Temperature(C)= 19.0	Humidity(%)= 9.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.900E-3
-1.900E-6	-34.720E-3
-1.800E-6	-33.970E-3
-1.700E-6	-32.610E-3
-1.600E-6	-30.710E-3
-1.500E-6	-28.760E-3
-1.400E-6	-26.800E-3
-1.300E-6	-24.800E-3
-1.200E-6	-22.830E-3
-1.100E-6	-20.930E-3
-1.000E-6	-19.830E-3
-900.000E-9	-17.890E-3
-800.000E-9	-16.690E-3
-700.000E-9	-14.710E-3
-600.000E-9	-13.400E-3
-500.000E-9	-12.120E-3
-400.000E-9	-10.850E-3
-300.000E-9	-8.610E-3
-200.000E-9	-7.340E-3
-100.000E-9	-5.900E-3
0.000E+0	-3.670E-3
100.000E-9	-2.400E-3
200.000E-9	-320.000E-6
300.000E-9	1.600E-3
400.000E-9	2.730E-3
500.000E-9	4.020E-3
600.000E-9	5.950E-3
700.000E-9	7.890E-3
800.000E-9	9.820E-3
900.000E-9	11.600E-3
1.000E-6	13.210E-3
1.100E-6	14.840E-3
1.200E-6	16.470E-3
1.300E-6	18.100E-3
1.400E-6	19.720E-3
1.500E-6	21.360E-3
1.600E-6	22.990E-3
1.700E-6	24.620E-3
1.800E-6	25.600E-3
1.900E-6	27.410E-3
2.000E-6	28.550E-3
