Custom_Flutes_19-Nov-20_5:20:54 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 22.2	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.300E-3
-1.900E-6	-36.300E-3
-1.800E-6	-35.910E-3
-1.700E-6	-34.530E-3
-1.600E-6	-32.560E-3
-1.500E-6	-30.180E-3
-1.400E-6	-28.760E-3
-1.300E-6	-26.510E-3
-1.200E-6	-24.250E-3
-1.100E-6	-22.040E-3
-1.000E-6	-19.910E-3
-900.000E-9	-18.090E-3
-800.000E-9	-16.330E-3
-700.000E-9	-14.620E-3
-600.000E-9	-13.620E-3
-500.000E-9	-11.780E-3
-400.000E-9	-9.960E-3
-300.000E-9	-8.140E-3
-200.000E-9	-6.310E-3
-100.000E-9	-4.650E-3
0.000E+0	-2.990E-3
100.000E-9	-1.990E-3
200.000E-9	-160.000E-6
300.000E-9	1.670E-3
400.000E-9	3.510E-3
500.000E-9	4.680E-3
600.000E-9	6.520E-3
700.000E-9	8.370E-3
800.000E-9	10.220E-3
900.000E-9	12.080E-3
1.000E-6	13.090E-3
1.100E-6	14.950E-3
1.200E-6	16.140E-3
1.300E-6	17.490E-3
1.400E-6	19.700E-3
1.500E-6	21.740E-3
1.600E-6	23.780E-3
1.700E-6	25.660E-3
1.800E-6	26.680E-3
1.900E-6	28.560E-3
2.000E-6	30.450E-3
