Extended_Flutes_09-Nov-20_3:05:40 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 23.3	Humidity(%)= 6.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.900E-3
-1.900E-6	-36.900E-3
-1.800E-6	-36.090E-3
-1.700E-6	-34.680E-3
-1.600E-6	-32.640E-3
-1.500E-6	-30.380E-3
-1.400E-6	-28.260E-3
-1.300E-6	-26.140E-3
-1.200E-6	-24.870E-3
-1.100E-6	-22.640E-3
-1.000E-6	-20.520E-3
-900.000E-9	-19.220E-3
-800.000E-9	-17.080E-3
-700.000E-9	-15.190E-3
-600.000E-9	-13.330E-3
-500.000E-9	-11.470E-3
-400.000E-9	-10.460E-3
-300.000E-9	-8.600E-3
-200.000E-9	-6.750E-3
-100.000E-9	-5.060E-3
0.000E+0	-3.750E-3
100.000E-9	-3.340E-3
200.000E-9	-1.780E-3
300.000E-9	470.000E-6
400.000E-9	2.970E-3
500.000E-9	5.450E-3
600.000E-9	6.470E-3
700.000E-9	8.350E-3
800.000E-9	10.230E-3
900.000E-9	12.120E-3
1.000E-6	14.000E-3
1.100E-6	15.720E-3
1.200E-6	16.760E-3
1.300E-6	18.650E-3
1.400E-6	20.550E-3
1.500E-6	22.450E-3
1.600E-6	24.350E-3
1.700E-6	26.080E-3
1.800E-6	27.120E-3
1.900E-6	29.030E-3
2.000E-6	30.940E-3
