Custom_Flutes_13-Nov-20_2:00:09 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 22.7	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.730E-3
-1.900E-6	-34.520E-3
-1.800E-6	-34.140E-3
-1.700E-6	-33.350E-3
-1.600E-6	-32.160E-3
-1.500E-6	-29.560E-3
-1.400E-6	-26.960E-3
-1.300E-6	-25.370E-3
-1.200E-6	-23.070E-3
-1.100E-6	-21.060E-3
-1.000E-6	-19.150E-3
-900.000E-9	-17.310E-3
-800.000E-9	-15.680E-3
-700.000E-9	-14.030E-3
-600.000E-9	-12.410E-3
-500.000E-9	-11.440E-3
-400.000E-9	-9.700E-3
-300.000E-9	-8.000E-3
-200.000E-9	-6.230E-3
-100.000E-9	-4.470E-3
0.000E+0	-2.790E-3
100.000E-9	-1.820E-3
200.000E-9	-50.000E-6
300.000E-9	1.720E-3
400.000E-9	2.850E-3
500.000E-9	4.780E-3
600.000E-9	6.740E-3
700.000E-9	8.530E-3
800.000E-9	10.340E-3
900.000E-9	11.810E-3
1.000E-6	13.450E-3
1.100E-6	15.090E-3
1.200E-6	16.730E-3
1.300E-6	18.370E-3
1.400E-6	20.020E-3
1.500E-6	21.000E-3
1.600E-6	22.160E-3
1.700E-6	24.140E-3
1.800E-6	26.130E-3
1.900E-6	28.110E-3
2.000E-6	29.940E-3
