Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 22.7	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.510E-3
-1.900E-6	-36.300E-3
-1.800E-6	-35.480E-3
-1.700E-6	-34.060E-3
-1.600E-6	-32.010E-3
-1.500E-6	-29.940E-3
-1.400E-6	-28.670E-3
-1.300E-6	-27.190E-3
-1.200E-6	-24.730E-3
-1.100E-6	-22.370E-3
-1.000E-6	-20.100E-3
-900.000E-9	-18.840E-3
-800.000E-9	-16.940E-3
-700.000E-9	-15.740E-3
-600.000E-9	-13.740E-3
-500.000E-9	-11.740E-3
-400.000E-9	-9.890E-3
-300.000E-9	-8.040E-3
-200.000E-9	-6.360E-3
-100.000E-9	-4.680E-3
0.000E+0	-3.010E-3
100.000E-9	-2.000E-3
200.000E-9	-170.000E-6
300.000E-9	1.650E-3
400.000E-9	3.490E-3
500.000E-9	4.670E-3
600.000E-9	6.540E-3
700.000E-9	8.410E-3
800.000E-9	9.610E-3
900.000E-9	11.670E-3
1.000E-6	12.880E-3
1.100E-6	14.940E-3
1.200E-6	17.010E-3
1.300E-6	18.900E-3
1.400E-6	20.780E-3
1.500E-6	21.820E-3
1.600E-6	23.700E-3
1.700E-6	25.590E-3
1.800E-6	27.470E-3
1.900E-6	29.350E-3
2.000E-6	30.380E-3
